index	hemi	name	color
65793	L	Background+FreeSurfer_Defined_Medial_Wall	#010101ff
8852088	L	17Networks_LH_VisCent_Striate_1	#781287ff
8917624	L	17Networks_LH_VisCent_Striate_2	#781288ff
8983160	L	17Networks_LH_VisCent_Striate_3	#781289ff
8720760	L	17Networks_LH_VisCent_ExStr_1	#781185ff
8786296	L	17Networks_LH_VisCent_ExStr_2	#781186ff
8851832	L	17Networks_LH_VisCent_ExStr_3	#781187ff
8393336	L	17Networks_LH_VisCent_ExStr_4	#781280ff
8458872	L	17Networks_LH_VisCent_ExStr_5	#781281ff
8524408	L	17Networks_LH_VisCent_ExStr_6	#781282ff
8589944	L	17Networks_LH_VisCent_ExStr_7	#781283ff
8655480	L	17Networks_LH_VisCent_ExStr_8	#781284ff
8721016	L	17Networks_LH_VisCent_ExStr_9	#781285ff
8786552	L	17Networks_LH_VisCent_ExStr_10	#781286ff
9048696	L	17Networks_LH_VisCent_ExStr_11	#78128aff
9114232	L	17Networks_LH_VisCent_ExStr_12	#78128bff
9179768	L	17Networks_LH_VisCent_ExStr_13	#78128cff
9245304	L	17Networks_LH_VisCent_ExStr_14	#78128dff
9310840	L	17Networks_LH_VisCent_ExStr_15	#78128eff
8852344	L	17Networks_LH_VisCent_ExStr_16	#781387ff
8917880	L	17Networks_LH_VisCent_ExStr_17	#781388ff
8983416	L	17Networks_LH_VisCent_ExStr_18	#781389ff
9048952	L	17Networks_LH_VisCent_ExStr_19	#78138aff
9114488	L	17Networks_LH_VisCent_ExStr_20	#78138bff
9180024	L	17Networks_LH_VisCent_ExStr_21	#78138cff
9245560	L	17Networks_LH_VisCent_ExStr_22	#78138dff
9311096	L	17Networks_LH_VisCent_ExStr_23	#78138eff
65791	L	17Networks_LH_VisPeri_StriCal_1	#ff0001ff
131327	L	17Networks_LH_VisPeri_StriCal_2	#ff0002ff
196863	L	17Networks_LH_VisPeri_StriCal_3	#ff0003ff
262399	L	17Networks_LH_VisPeri_StriCal_4	#ff0004ff
327935	L	17Networks_LH_VisPeri_StriCal_5	#ff0005ff
393471	L	17Networks_LH_VisPeri_StriCal_6	#ff0006ff
459007	L	17Networks_LH_VisPeri_StriCal_7	#ff0007ff
255	L	17Networks_LH_VisPeri_ExStrInf_1	#ff0000ff
524543	L	17Networks_LH_VisPeri_ExStrInf_2	#ff0008ff
66047	L	17Networks_LH_VisPeri_ExStrInf_3	#ff0101ff
131583	L	17Networks_LH_VisPeri_ExStrInf_4	#ff0102ff
197119	L	17Networks_LH_VisPeri_ExStrInf_5	#ff0103ff
262655	L	17Networks_LH_VisPeri_ExStrInf_6	#ff0104ff
328191	L	17Networks_LH_VisPeri_ExStrInf_7	#ff0105ff
393727	L	17Networks_LH_VisPeri_ExStrInf_8	#ff0106ff
459263	L	17Networks_LH_VisPeri_ExStrInf_9	#ff0107ff
767	L	17Networks_LH_VisPeri_ExStrSup_1	#ff0200ff
66303	L	17Networks_LH_VisPeri_ExStrSup_2	#ff0201ff
131839	L	17Networks_LH_VisPeri_ExStrSup_3	#ff0202ff
197375	L	17Networks_LH_VisPeri_ExStrSup_4	#ff0203ff
262911	L	17Networks_LH_VisPeri_ExStrSup_5	#ff0204ff
328447	L	17Networks_LH_VisPeri_ExStrSup_6	#ff0205ff
393983	L	17Networks_LH_VisPeri_ExStrSup_7	#ff0206ff
459519	L	17Networks_LH_VisPeri_ExStrSup_8	#ff0207ff
1023	L	17Networks_LH_VisPeri_ExStrSup_9	#ff0300ff
66559	L	17Networks_LH_VisPeri_ExStrSup_10	#ff0301ff
