index	hemi	name	color
65793	L	FreeSurfer_Defined_Medial_Wall	#010101ff
8786552	L	7Networks_1	#781286ff
11829830	L	7Networks_2	#4682b4ff
947712	L	7Networks_3	#00760eff
16399044	L	7Networks_4	#c43afaff
10811612	L	7Networks_5	#dcf8a4ff
2266342	L	7Networks_6	#e69422ff
5127885	L	7Networks_7	#cd3e4eff
65793	R	FreeSurfer_Defined_Medial_Wall	#010101ff
8786552	R	7Networks_1	#781286ff
11829830	R	7Networks_2	#4682b4ff
947712	R	7Networks_3	#00760eff
16399044	R	7Networks_4	#c43afaff
10811612	R	7Networks_5	#dcf8a4ff
2266342	R	7Networks_6	#e69422ff
5127885	R	7Networks_7	#cd3e4eff
