index	hemi	name	color	fs_index	fs_name
0	L	Unknown	#000000ff	1100	ctx-lh-Unknown
3289650	L	Corpus_callosum	#323232ff	1101	ctx-lh-Corpus_callosum
1971380	L	G_and_S_Insula_ONLY_AVERAGE	#b4141eff	1102	ctx-lh-G_and_S_Insula_ONLY_AVERAGE
1644860	L	G_cingulate-Isthmus	#3c1919ff	1103	ctx-lh-G_cingulate-Isthmus
3947545	L	G_cingulate-Main_part	#193c3cff	1104	ctx-lh-G_cingulate-Main_part
1316020	L	G_cuneus	#b41414ff	1105	ctx-lh-G_cuneus
6558940	L	G_frontal_inf-Opercular_part	#dc1464ff	1106	ctx-lh-G_frontal_inf-Opercular_part
3947660	L	G_frontal_inf-Orbital_part	#8c3c3cff	1107	ctx-lh-G_frontal_inf-Orbital_part
9231540	L	G_frontal_inf-Triangular_part	#b4dc8cff	1108	ctx-lh-G_frontal_inf-Triangular_part
11822220	L	G_frontal_middle	#8c64b4ff	1109	ctx-lh-G_frontal_middle
9180340	L	G_frontal_superior	#b4148cff	1110	ctx-lh-G_frontal_superior
9180300	L	G_frontomarginal	#8c148cff	1111	ctx-lh-G_frontomarginal
657941	L	G_insular_long	#150a0aff	1112	ctx-lh-G_insular_long
9211105	L	G_insular_short	#e18c8cff	1113	ctx-lh-G_insular_short
11811863	L	G_and_S_occipital_inferior	#173cb4ff	1114	ctx-lh-G_and_S_occipital_inferior
11812020	L	G_occipital_middle	#b43cb4ff	1115	ctx-lh-G_occipital_middle
3988500	L	G_occipital_superior	#14dc3cff	1116	ctx-lh-G_occipital_superior
9180220	L	G_occipit-temp_lat-Or_fusiform	#3c148cff	1117	ctx-lh-G_occipit-temp_lat-Or_fusiform
9221340	L	G_occipit-temp_med-Lingual_part	#dcb48cff	1118	ctx-lh-G_occipit-temp_med-Lingual_part
1336385	L	G_occipit-temp_med-Parahippocampal_part	#416414ff	1119	ctx-lh-G_occipit-temp_med-Parahippocampal_part
1326300	L	G_orbital	#dc3c14ff	1120	ctx-lh-G_orbital
3957820	L	G_paracentral	#3c643cff	1121	ctx-lh-G_paracentral
14433300	L	G_parietal_inferior-Angular_part	#143cdcff	1122	ctx-lh-G_parietal_inferior-Angular_part
3957860	L	G_parietal_inferior-Supramarginal_part	#64643cff	1123	ctx-lh-G_parietal_inferior-Supramarginal_part
14464220	L	G_parietal_superior	#dcb4dcff	1124	ctx-lh-G_parietal_superior
9221140	L	G_postcentral	#14b48cff	1125	ctx-lh-G_postcentral
11832380	L	G_precentral	#3c8cb4ff	1126	ctx-lh-G_precentral
9180185	L	G_precuneus	#19148cff	1127	ctx-lh-G_precuneus
6568980	L	G_rectus	#143c64ff	1128	ctx-lh-G_rectus
1367100	L	G_subcallosal	#3cdc14ff	1129	ctx-lh-G_subcallosal
14423100	L	G_subcentral	#3c14dcff	1130	ctx-lh-G_subcentral
6610140	L	G_temporal_inferior	#dcdc64ff	1131	ctx-lh-G_temporal_inferior
3947700	L	G_temporal_middle	#b43c3cff	1132	ctx-lh-G_temporal_middle
14433340	L	G_temp_sup-G_temp_transv_and_interm_S	#3c3cdcff	1133	ctx-lh-G_temp_sup-G_temp_transv_and_interm_S
14433500	L	G_temp_sup-Lateral_aspect	#dc3cdcff	1134	ctx-lh-G_temp_sup-Lateral_aspect
3988545	L	G_temp_sup-Planum_polare	#41dc3cff	1135	ctx-lh-G_temp_sup-Planum_polare
1346585	L	G_temp_sup-Planum_tempolare	#198c14ff	1136	ctx-lh-G_temp_sup-Planum_tempolare
16384013	L	G_and_S_transverse_frontopolar	#0d00faff	1137	ctx-lh-G_and_S_transverse_frontopolar
14423101	L	Lat_Fissure-ant_sgt-ramus_horizontal	#3d14dcff	1138	ctx-lh-Lat_Fissure-ant_sgt-ramus_horizontal
3937341	L	Lat_Fissure-ant_sgt-ramus_vertical	#3d143cff	1139	ctx-lh-Lat_Fissure-ant_sgt-ramus_vertical
6569021	L	Lat_Fissure-post_sgt	#3d3c64ff	1140	ctx-lh-Lat_Fissure-post_sgt
1644825	L	Medial_wall	#191919ff	1141	ctx-lh-Medial_wall
3937420	L	Pole_occipital	#8c143cff	1142	ctx-lh-Pole_occipital
1357020	L	Pole_temporal	#dcb414ff	1143	ctx-lh-Pole_temporal
11842623	L	S_calcarine	#3fb4b4ff	1144	ctx-lh-S_calcarine
660701	L	S_central	#dd140aff	1145	ctx-lh-S_central
1367061	L	S_central_insula	#15dc14ff	1146	ctx-lh-S_central_insula
1336503	L	S_cingulate-Main_part_and_Intracingulate	#b76414ff	1147	ctx-lh-S_cingulate-Main_part_and_Intracingulate
6558941	L	S_cingulate-Marginalis_part	#dd1464ff	1148	ctx-lh-S_cingulate-Marginalis_part
9190621	L	S_circular_insula_anterior	#dd3c8cff	1149	ctx-lh-S_circular_insula_anterior
14423261	L	S_circular_insula_inferior	#dd14dcff	1150	ctx-lh-S_circular_insula_inferior
14474301	L	S_circular_insula_superior	#3ddcdcff	1151	ctx-lh-S_circular_insula_superior
13158500	L	S_collateral_transverse_ant	#64c8c8ff	1152	ctx-lh-S_collateral_transverse_ant
13158410	L	S_collateral_transverse_post	#0ac8c8ff	1153	ctx-lh-S_collateral_transverse_post
1367261	L	S_frontal_inferior	#dddc14ff	1154	ctx-lh-S_frontal_inferior
