index	hemi	name	color
657930	L	Background	#0a0a0aff
65279	L	17networks_LH_DefaultA_FPole_1	#fffe00ff
65535	L	17networks_LH_DefaultA_FPole_2	#ffff00ff
131071	L	17networks_LH_DefaultA_IPL_1	#ffff01ff
196607	L	17networks_LH_DefaultA_IPL_2	#ffff02ff
262143	L	17networks_LH_DefaultA_IPL_3	#ffff03ff
327679	L	17networks_LH_DefaultA_IPL_4	#ffff04ff
393215	L	17networks_LH_DefaultA_IPL_5	#ffff05ff
458751	L	17networks_LH_DefaultA_IPL_6	#ffff06ff
524287	L	17networks_LH_DefaultA_IPL_7	#ffff07ff
63996	L	17networks_LH_DefaultA_PCC_1	#fcf900ff
64252	L	17networks_LH_DefaultA_PCC_2	#fcfa00ff
64508	L	17networks_LH_DefaultA_PCC_3	#fcfb00ff
64764	L	17networks_LH_DefaultA_PFCd_1	#fcfc00ff
65020	L	17networks_LH_DefaultA_PFCd_2	#fcfd00ff
65276	L	17networks_LH_DefaultA_PFCm_1	#fcfe00ff
65532	L	17networks_LH_DefaultA_PFCm_2	#fcff00ff
63741	L	17networks_LH_DefaultA_PFCm_3	#fdf800ff
63997	L	17networks_LH_DefaultA_PFCm_4	#fdf900ff
64253	L	17networks_LH_DefaultA_PFCm_5	#fdfa00ff
64509	L	17networks_LH_DefaultA_PHC_1	#fdfb00ff
64765	L	17networks_LH_DefaultA_Temp_1	#fdfc00ff
65021	L	17networks_LH_DefaultA_Temp_2	#fdfd00ff
65277	L	17networks_LH_DefaultA_Temp_3	#fdfe00ff
65533	L	17networks_LH_DefaultA_Temp_4	#fdff00ff
63742	L	17networks_LH_DefaultA_Temp_5	#fef800ff
63998	L	17networks_LH_DefaultA_TempPole_1	#fef900ff
64254	L	17networks_LH_DefaultA_pCun_1	#fefa00ff
64510	L	17networks_LH_DefaultA_pCun_2	#fefb00ff
64766	L	17networks_LH_DefaultA_pCun_3	#fefc00ff
65022	L	17networks_LH_DefaultA_pCun_4	#fefd00ff
65278	L	17networks_LH_DefaultA_pCun_5	#fefe00ff
5127373	L	17networks_LH_DefaultB_FPole_1	#cd3c4eff
4668877	L	17networks_LH_DefaultB_FPole_2	#cd3d47ff
4734413	L	17networks_LH_DefaultB_IPL_1	#cd3d48ff
4799949	L	17networks_LH_DefaultB_IPL_2	#cd3d49ff
4865485	L	17networks_LH_DefaultB_IPL_3	#cd3d4aff
4931021	L	17networks_LH_DefaultB_IPL_4	#cd3d4bff
4996557	L	17networks_LH_DefaultB_PCC_1	#cd3d4cff
5062093	L	17networks_LH_DefaultB_PCC_2	#cd3d4dff
5127629	L	17networks_LH_DefaultB_PCC_3	#cd3d4eff
4669133	L	17networks_LH_DefaultB_PCC_4	#cd3e47ff
4734669	L	17networks_LH_DefaultB_PCC_5	#cd3e48ff
4800205	L	17networks_LH_DefaultB_PFCd_1	#cd3e49ff
4865741	L	17networks_LH_DefaultB_PFCd_2	#cd3e4aff
4931277	L	17networks_LH_DefaultB_PFCd_3	#cd3e4bff
4996813	L	17networks_LH_DefaultB_PFCd_4	#cd3e4cff
5062349	L	17networks_LH_DefaultB_PFCd_5	#cd3e4dff
5127885	L	17networks_LH_DefaultB_PFCd_6	#cd3e4eff
5193421	L	17networks_LH_DefaultB_PFCd_7	#cd3e4fff
5258957	L	17networks_LH_DefaultB_PFCd_8	#cd3e50ff
5324493	L	17networks_LH_DefaultB_PFCl_1	#cd3e51ff
5390029	L	17networks_LH_DefaultB_PFCl_2	#cd3e52ff
5455565	L	17networks_LH_DefaultB_PFCl_3	#cd3e53ff
5521101	L	17networks_LH_DefaultB_PFCv_1	#cd3e54ff
5586637	L	17networks_LH_DefaultB_PFCv_2	#cd3e55ff
5128141	L	17networks_LH_DefaultB_PFCv_3	#cd3f4eff
5193677	L	17networks_LH_DefaultB_PFCv_4	#cd3f4fff
5259213	L	17networks_LH_DefaultB_Temp_1	#cd3f50ff
5324749	L	17networks_LH_DefaultB_Temp_2	#cd3f51ff
5390285	L	17networks_LH_DefaultB_Temp_3	#cd3f52ff
5455821	L	17networks_LH_DefaultB_Temp_4	#cd3f53ff
5521357	L	17networks_LH_DefaultB_Temp_5	#cd3f54ff
5586893	L	17networks_LH_DefaultB_TempPole_1	#cd3f55ff
5128397	L	17networks_LH_DefaultB_TempPole_2	#cd404eff
5193933	L	17networks_LH_DefaultB_TempPole_3	#cd404fff
8060928	L	17networks_LH_DefaultC_IPL_1	#00007bff
8126464	L	17networks_LH_DefaultC_IPL_2	#00007cff
8192000	L	17networks_LH_DefaultC_IPL_3	#00007dff
8257536	L	17networks_LH_DefaultC_IPL_4	#00007eff
8323072	L	17networks_LH_DefaultC_PFCd_1	#00007fff
8388608	L	17networks_LH_DefaultC_PFCd_2	#000080ff
8454144	L	17networks_LH_DefaultC_PFCd_3	#000081ff
8519680	L	17networks_LH_DefaultC_PHC_1	#000082ff
8585216	L	17networks_LH_DefaultC_PHC_2	#000083ff
8650752	L	17networks_LH_DefaultC_PHC_3	#000084ff
8716288	L	17networks_LH_DefaultC_PHC_4	#000085ff
8781824	L	17networks_LH_DefaultC_RSC_1	#000086ff
8847360	L	17networks_LH_DefaultC_RSC_2	#000087ff
8912896	L	17networks_LH_DefaultC_RSC_3	#000088ff
8978432	L	17networks_LH_DefaultC_RSC_4	#000089ff
8519936	L	17networks_LH_DefaultC_RSC_5	#000182ff
8585472	L	17networks_LH_DefaultC_RSC_6	#000183ff
8651008	L	17networks_LH_DefaultC_RSC_7	#000184ff
8716544	L	17networks_LH_DefaultC_pCun_1	#000185ff
8782080	L	17networks_LH_DefaultC_pCun_2	#000186ff
8847616	L	17networks_LH_DefaultC_pCun_3	#000187ff
8913152	L	17networks_LH_DefaultC_pCun_4	#000188ff
8978688	L	17networks_LH_DefaultC_pCun_5	#000189ff
8520192	L	17networks_LH_DefaultC_pCun_6	#000282ff
16658188	L	17networks_LH_Language_IFG_1	#0c2ffeff
16723724	L	17networks_LH_Language_IFG_2	#0c2fffff
16265228	L	17networks_LH_Language_IFG_3	#0c30f8ff
16330764	L	17networks_LH_Language_IPL_1	#0c30f9ff
16396300	L	17networks_LH_Language_IPL_2	#0c30faff
16461836	L	17networks_LH_Language_IPL_3	#0c30fbff
16527372	L	17networks_LH_Language_PFCd_1	#0c30fcff
16592908	L	17networks_LH_Language_PFCd_2	#0c30fdff
16658444	L	17networks_LH_Language_PFCd_3	#0c30feff
16723980	L	17networks_LH_Language_PFCd_4	#0c30ffff
16394505	L	17networks_LH_Language_PFCl_1	#0929faff
16460041	L	17networks_LH_Language_Temp_1	#0929fbff
16525577	L	17networks_LH_Language_Temp_2	#0929fcff
16591113	L	17networks_LH_Language_Temp_3	#0929fdff
16656649	L	17networks_LH_Language_Temp_4	#0929feff
16722185	L	17networks_LH_Language_Temp_5	#0929ffff
16263689	L	17networks_LH_Language_Temp_6	#092af8ff
16329225	L	17networks_LH_Language_Temp_7	#092af9ff
16394761	L	17networks_LH_Language_TempPole_1	#092afaff
16460297	L	17networks_LH_Language_TempPole_2	#092afbff
2003942	L	17networks_LH_ContA_Cingm_1	#e6931eff
2069478	L	17networks_LH_ContA_Cingm_2	#e6931fff
2135014	L	17networks_LH_ContA_IPS_1	#e69320ff
2200550	L	17networks_LH_ContA_IPS_2	#e69321ff
2266086	L	17networks_LH_ContA_IPS_3	#e69322ff
1807590	L	17networks_LH_ContA_IPS_4	#e6941bff
1873126	L	17networks_LH_ContA_IPS_5	#e6941cff
1938662	L	17networks_LH_ContA_IPS_6	#e6941dff
2004198	L	17networks_LH_ContA_Ins_1	#e6941eff
2069734	L	17networks_LH_ContA_Ins_2	#e6941fff
2135270	L	17networks_LH_ContA_OFC_1	#e69420ff
2200806	L	17networks_LH_ContA_PFCd_1	#e69421ff
2266342	L	17networks_LH_ContA_PFCd_2	#e69422ff
2331878	L	17networks_LH_ContA_PFCl_1	#e69423ff
2397414	L	17networks_LH_ContA_PFCl_2	#e69424ff
2462950	L	17networks_LH_ContA_PFCl_3	#e69425ff
2528486	L	17networks_LH_ContA_PFCl_4	#e69426ff
2594022	L	17networks_LH_ContA_PFCl_5	#e69427ff
2659558	L	17networks_LH_ContA_PFCl_6	#e69428ff
2725094	L	17networks_LH_ContA_PFCl_7	#e69429ff
2266598	L	17networks_LH_ContA_PFCl_8	#e69522ff
2332134	L	17networks_LH_ContA_PFCl_9	#e69523ff
2397670	L	17networks_LH_ContA_PFCl_10	#e69524ff
2463206	L	17networks_LH_ContA_Temp_1	#e69525ff
2528742	L	17networks_LH_ContA_Temp_2	#e69526ff
4600199	L	17networks_LH_ContB_FPole_1	#873146ff
4665735	L	17networks_LH_ContB_IPL_1	#873147ff
4731271	L	17networks_LH_ContB_IPL_2	#873148ff
4796807	L	17networks_LH_ContB_IPL_3	#873149ff
4862343	L	17networks_LH_ContB_IPL_4	#87314aff
4403847	L	17networks_LH_ContB_IPL_5	#873243ff
4469383	L	17networks_LH_ContB_IPL_6	#873244ff
4534919	L	17networks_LH_ContB_IPS_1	#873245ff
4600455	L	17networks_LH_ContB_IPS_2	#873246ff
4665991	L	17networks_LH_ContB_OFC_1	#873247ff
4731527	L	17networks_LH_ContB_OFC_2	#873248ff
4797063	L	17networks_LH_ContB_OFC_3	#873249ff
4862599	L	17networks_LH_ContB_OFC_4	#87324aff
4928135	L	17networks_LH_ContB_OFC_5	#87324bff
4993671	L	17networks_LH_ContB_OFC_6	#87324cff
5059207	L	17networks_LH_ContB_OFC_7	#87324dff
5124743	L	17networks_LH_ContB_OFC_8	#87324eff
5190279	L	17networks_LH_ContB_PCC_1	#87324fff
5255815	L	17networks_LH_ContB_PCC_2	#873250ff
5321351	L	17networks_LH_ContB_PFCd_1	#873251ff
4862855	L	17networks_LH_ContB_PFCmp_1	#87334aff
4928391	L	17networks_LH_ContB_PFCmp_2	#87334bff
4993927	L	17networks_LH_ContB_Temp_1	#87334cff
5059463	L	17networks_LH_ContB_Temp_2	#87334dff
5124999	L	17networks_LH_ContB_Temp_3	#87334eff
5190535	L	17networks_LH_ContB_Temp_4	#87334fff
11504503	L	17networks_LH_ContC_Cingp_1	#778bafff
11570039	L	17networks_LH_ContC_Cingp_2	#778bb0ff
11111543	L	17networks_LH_ContC_Cingp_3	#778ca9ff
11177079	L	17networks_LH_ContC_Cingp_4	#778caaff
11242615	L	17networks_LH_ContC_Cingp_5	#778cabff
11308151	L	17networks_LH_ContC_FPole_1	#778cacff
11373687	L	17networks_LH_ContC_Ins_1	#778cadff
11439223	L	17networks_LH_ContC_PFCm_1	#778caeff
11504759	L	17networks_LH_ContC_PFCm_2	#778cafff
11570295	L	17networks_LH_ContC_PFCm_3	#778cb0ff
11635831	L	17networks_LH_ContC_PFCm_4	#778cb1ff
11701367	L	17networks_LH_ContC_PFCm_5	#778cb2ff
11766903	L	17networks_LH_ContC_PFCm_6	#778cb3ff
11832439	L	17networks_LH_ContC_PHC_1	#778cb4ff
11897975	L	17networks_LH_ContC_pCun_1	#778cb5ff
11963511	L	17networks_LH_ContC_pCun_2	#778cb6ff
12029047	L	17networks_LH_ContC_pCun_3	#778cb7ff
11570551	L	17networks_LH_ContC_pCun_4	#778db0ff
11636087	L	17networks_LH_ContC_pCun_5	#778db1ff
16005572	L	17networks_LH_SalVenAttnA_FrMed_1	#c439f4ff
16071108	L	17networks_LH_SalVenAttnA_FrMed_2	#c439f5ff
16136644	L	17networks_LH_SalVenAttnA_FrMed_3	#c439f6ff
16202180	L	17networks_LH_SalVenAttnA_FrMed_4	#c439f7ff
16267716	L	17networks_LH_SalVenAttnA_FrOper_1	#c439f8ff
16333252	L	17networks_LH_SalVenAttnA_FrOper_2	#c439f9ff
16398788	L	17networks_LH_SalVenAttnA_FrOper_3	#c439faff
15940292	L	17networks_LH_SalVenAttnA_IPL_1	#c43af3ff
16005828	L	17networks_LH_SalVenAttnA_IPL_2	#c43af4ff
16071364	L	17networks_LH_SalVenAttnA_IPL_3	#c43af5ff
16136900	L	17networks_LH_SalVenAttnA_IPL_4	#c43af6ff
16202436	L	17networks_LH_SalVenAttnA_Ins_1	#c43af7ff
16267972	L	17networks_LH_SalVenAttnA_Ins_2	#c43af8ff
16333508	L	17networks_LH_SalVenAttnA_Ins_3	#c43af9ff
16399044	L	17networks_LH_SalVenAttnA_Ins_4	#c43afaff
16464580	L	17networks_LH_SalVenAttnA_Ins_5	#c43afbff
