index	hemi	name	color
16448250	L	unknown	#fafafaff
3296035	L	lateralorbitofrontal	#234b32ff
3302420	L	parsorbitalis	#146432ff
6553700	L	frontalpole	#640064ff
4924360	L	medialorbitofrontal	#c8234bff
1326300	L	parstriangularis	#dc3c14ff
9221340	L	parsopercularis	#dcb48cff
8204875	L	rostralmiddlefrontal	#4b327dff
10542100	L	superiorfrontal	#14dca0ff
6500	L	caudalmiddlefrontal	#641900ff
14423100	L	precentral	#3c14dcff
3988540	L	paracentral	#3cdc3cff
9180240	L	rostralanteriorcingulate	#50148cff
10511485	L	caudalanteriorcingulate	#7d64a0ff
14464220	L	posteriorcingulate	#dcb4dcff
9180300	L	isthmuscingulate	#8c148cff
1316060	L	postcentral	#dc1414ff
1351760	L	supramarginal	#50a014ff
9221140	L	superiorparietal	#14b48cff
14433500	L	inferiorparietal	#dc3cdcff
11832480	L	precuneus	#a08cb4ff
6558940	L	cuneus	#dc1464ff
3957880	L	pericalcarine	#78643cff
9182740	L	lateraloccipital	#141e8cff
9211105	L	lingual	#e18c8cff
9231540	L	fusiform	#b4dc8cff
3988500	L	parahippocampal	#14dc3cff
660700	L	entorhinal	#dc140aff
11146310	L	temporalpole	#4614aaff
7874740	L	inferiortemporal	#b42878ff
3302560	L	middletemporal	#a06432ff
2647065	L	bankssts	#196428ff
14474380	L	superiortemporal	#8cdcdcff
13145750	L	transversetemporal	#9696c8ff
2146559	L	insula	#ffc020ff
16448250	R	unknown	#fafafaff
3296035	R	lateralorbitofrontal	#234b32ff
3302420	R	parsorbitalis	#146432ff
6553700	R	frontalpole	#640064ff
4924360	R	medialorbitofrontal	#c8234bff
1326300	R	parstriangularis	#dc3c14ff
9221340	R	parsopercularis	#dcb48cff
8204875	R	rostralmiddlefrontal	#4b327dff
10542100	R	superiorfrontal	#14dca0ff
6500	R	caudalmiddlefrontal	#641900ff
14423100	R	precentral	#3c14dcff
3988540	R	paracentral	#3cdc3cff
9180240	R	rostralanteriorcingulate	#50148cff
10511485	R	caudalanteriorcingulate	#7d64a0ff
14464220	R	posteriorcingulate	#dcb4dcff
9180300	R	isthmuscingulate	#8c148cff
1316060	R	postcentral	#dc1414ff
1351760	R	supramarginal	#50a014ff
9221140	R	superiorparietal	#14b48cff
14433500	R	inferiorparietal	#dc3cdcff
11832480	R	precuneus	#a08cb4ff
6558940	R	cuneus	#dc1464ff
3957880	R	pericalcarine	#78643cff
9182740	R	lateraloccipital	#141e8cff
9211105	R	lingual	#e18c8cff
9231540	R	fusiform	#b4dc8cff
3988500	R	parahippocampal	#14dc3cff
660700	R	entorhinal	#dc140aff
11146310	R	temporalpole	#4614aaff
7874740	R	inferiortemporal	#b42878ff
3302560	R	middletemporal	#a06432ff
2647065	R	bankssts	#196428ff
14474380	R	superiortemporal	#8cdcdcff
13145750	R	transversetemporal	#9696c8ff
2146559	R	insula	#ffc020ff
