index	hemi	name	color	fs_index	fs_name
11801661	L	S_occipital_ant	#3d14b4ff	11160	ctx_lh_S_occipital_ant
1346781	L	S_oc-temp_lat	#dd8c14ff	11161	ctx_lh_S_oc-temp_lat
14443661	L	S_oc-temp_med_and_Lingual	#8d64dcff	11162	ctx_lh_S_oc-temp_med_and_Lingual
1336541	L	S_orbital_lateral	#dd6414ff	11163	ctx_lh_S_orbital_lateral
1362101	L	S_orbital_med-olfact	#b5c814ff	11164	ctx_lh_S_orbital_med-olfact
1315941	L	S_orbital-H_Shaped	#651414ff	11165	ctx_lh_S_orbital-H_Shaped
11822181	L	S_parieto_occipital	#6564b4ff	11166	ctx_lh_S_parieto_occipital
1367221	L	S_pericallosal	#b5dc14ff	11167	ctx_lh_S_pericallosal
13143061	L	S_postcentral	#158cc8ff	11168	ctx_lh_S_postcentral
15733781	L	S_precentral-inf-part	#1514f0ff	11169	ctx_lh_S_precentral-inf-part
13112341	L	S_precentral-sup-part	#1514c8ff	11170	ctx_lh_S_precentral-sup-part
3937301	L	S_suborbital	#15143cff	11171	ctx_lh_S_suborbital
3947621	L	S_subparietal	#653c3cff	11172	ctx_lh_S_subparietal
11842581	L	S_temporal_inf	#15b4b4ff	11173	ctx_lh_S_temporal_inf
3988703	L	S_temporal_sup	#dfdc3cff	11174	ctx_lh_S_temporal_sup
3947741	L	S_temporal_transverse	#dd3c3cff	11175	ctx_lh_S_temporal_transverse
0	R	Unknown	#000000ff	12100	ctx_rh_Unknown
3988503	R	G_and_S_frontomargin	#17dc3cff	12101	ctx_rh_G_and_S_frontomargin
11811863	R	G_and_S_occipital_inf	#173cb4ff	12102	ctx_rh_G_and_S_occipital_inf
3957823	R	G_and_S_paracentral	#3f643cff	12103	ctx_rh_G_and_S_paracentral
14423103	R	G_and_S_subcentral	#3f14dcff	12104	ctx_rh_G_and_S_subcentral
16384013	R	G_and_S_transv_frontopol	#0d00faff	12105	ctx_rh_G_and_S_transv_frontopol
15386	R	G_and_S_cingul-Ant	#1a3c00ff	12106	ctx_rh_G_and_S_cingul-Ant
4930586	R	G_and_S_cingul-Mid-Ant	#1a3c4bff	12107	ctx_rh_G_and_S_cingul-Mid-Ant
9845786	R	G_and_S_cingul-Mid-Post	#1a3c96ff	12108	ctx_rh_G_and_S_cingul-Mid-Post
16399385	R	G_cingul-Post-dorsal	#193cfaff	12109	ctx_rh_G_cingul-Post-dorsal
1644860	R	G_cingul-Post-ventral	#3c1919ff	12110	ctx_rh_G_cingul-Post-ventral
1316020	R	G_cuneus	#b41414ff	12111	ctx_rh_G_cuneus
6558940	R	G_front_inf-Opercular	#dc1464ff	12112	ctx_rh_G_front_inf-Opercular
3947660	R	G_front_inf-Orbital	#8c3c3cff	12113	ctx_rh_G_front_inf-Orbital
9231540	R	G_front_inf-Triangul	#b4dc8cff	12114	ctx_rh_G_front_inf-Triangul
11822220	R	G_front_middle	#8c64b4ff	12115	ctx_rh_G_front_middle
9180340	R	G_front_sup	#b4148cff	12116	ctx_rh_G_front_sup
657943	R	G_Ins_lg_and_S_cent_ins	#170a0aff	12117	ctx_rh_G_Ins_lg_and_S_cent_ins
9211105	R	G_insular_short	#e18c8cff	12118	ctx_rh_G_insular_short
11812020	R	G_occipital_middle	#b43cb4ff	12119	ctx_rh_G_occipital_middle
3988500	R	G_occipital_sup	#14dc3cff	12120	ctx_rh_G_occipital_sup
9180220	R	G_oc-temp_lat-fusifor	#3c148cff	12121	ctx_rh_G_oc-temp_lat-fusifor
9221340	R	G_oc-temp_med-Lingual	#dcb48cff	12122	ctx_rh_G_oc-temp_med-Lingual
1336385	R	G_oc-temp_med-Parahip	#416414ff	12123	ctx_rh_G_oc-temp_med-Parahip
1326300	R	G_orbital	#dc3c14ff	12124	ctx_rh_G_orbital
14433300	R	G_pariet_inf-Angular	#143cdcff	12125	ctx_rh_G_pariet_inf-Angular
3957860	R	G_pariet_inf-Supramar	#64643cff	12126	ctx_rh_G_pariet_inf-Supramar
14464220	R	G_parietal_sup	#dcb4dcff	12127	ctx_rh_G_parietal_sup
9221140	R	G_postcentral	#14b48cff	12128	ctx_rh_G_postcentral
11832380	R	G_precentral	#3c8cb4ff	12129	ctx_rh_G_precentral
9180185	R	G_precuneus	#19148cff	12130	ctx_rh_G_precuneus
6568980	R	G_rectus	#143c64ff	12131	ctx_rh_G_rectus
1367100	R	G_subcallosal	#3cdc14ff	12132	ctx_rh_G_subcallosal
14433340	R	G_temp_sup-G_T_transv	#3c3cdcff	12133	ctx_rh_G_temp_sup-G_T_transv
14433500	R	G_temp_sup-Lateral	#dc3cdcff	12134	ctx_rh_G_temp_sup-Lateral
3988545	R	G_temp_sup-Plan_polar	#41dc3cff	12135	ctx_rh_G_temp_sup-Plan_polar
1346585	R	G_temp_sup-Plan_tempo	#198c14ff	12136	ctx_rh_G_temp_sup-Plan_tempo
6610140	R	G_temporal_inf	#dcdc64ff	12137	ctx_rh_G_temporal_inf
3947700	R	G_temporal_middle	#b43c3cff	12138	ctx_rh_G_temporal_middle
14423101	R	Lat_Fis-ant-Horizont	#3d14dcff	12139	ctx_rh_Lat_Fis-ant-Horizont
3937341	R	Lat_Fis-ant-Vertical	#3d143cff	12140	ctx_rh_Lat_Fis-ant-Vertical
6569021	R	Lat_Fis-post	#3d3c64ff	12141	ctx_rh_Lat_Fis-post
1644825	R	Medial_wall	#191919ff	12142	ctx_rh_Medial_wall
3937420	R	Pole_occipital	#8c143cff	12143	ctx_rh_Pole_occipital
1357020	R	Pole_temporal	#dcb414ff	12144	ctx_rh_Pole_temporal
11842623	R	S_calcarine	#3fb4b4ff	12145	ctx_rh_S_calcarine
660701	R	S_central	#dd140aff	12146	ctx_rh_S_central
6558941	R	S_cingul-Marginalis	#dd1464ff	12147	ctx_rh_S_cingul-Marginalis
9190621	R	S_circular_insula_ant	#dd3c8cff	12148	ctx_rh_S_circular_insula_ant
14423261	R	S_circular_insula_inf	#dd14dcff	12149	ctx_rh_S_circular_insula_inf
14474301	R	S_circular_insula_sup	#3ddcdcff	12150	ctx_rh_S_circular_insula_sup
13158500	R	S_collat_transv_ant	#64c8c8ff	12151	ctx_rh_S_collat_transv_ant
13158410	R	S_collat_transv_post	#0ac8c8ff	12152	ctx_rh_S_collat_transv_post
1367261	R	S_front_inf	#dddc14ff	12153	ctx_rh_S_front_inf
6558861	R	S_front_middle	#8d1464ff	12154	ctx_rh_S_front_middle
6609981	R	S_front_sup	#3ddc64ff	12155	ctx_rh_S_front_sup
1326221	R	S_interm_prim-Jensen	#8d3c14ff	12156	ctx_rh_S_interm_prim-Jensen
14423183	R	S_intrapariet_and_P_trans	#8f14dcff	12157	ctx_rh_S_intrapariet_and_P_trans
14433381	R	S_oc_middle_and_Lunatus	#653cdcff	12158	ctx_rh_S_oc_middle_and_Lunatus
9180181	R	S_oc_sup_and_transversal	#15148cff	12159	ctx_rh_S_oc_sup_and_transversal
11801661	R	S_occipital_ant	#3d14b4ff	12160	ctx_rh_S_occipital_ant
1346781	R	S_oc-temp_lat	#dd8c14ff	12161	ctx_rh_S_oc-temp_lat
14443661	R	S_oc-temp_med_and_Lingual	#8d64dcff	12162	ctx_rh_S_oc-temp_med_and_Lingual
1336541	R	S_orbital_lateral	#dd6414ff	12163	ctx_rh_S_orbital_lateral
